任务序号 价格 完成情况 7km内用户信誉均值
0 66.0 0.0 879.7558159420286 
1 65.5 0.0 103.5451436363636 
2 65.5 1.0 829.600282666666 
3 75.0 0.0 13.467700000000002 
4 65.5 0.0 761.829741463414 
5 75.0 0.0 13.467700000000002 
6 65.5 1.0 779.8761037974679 
7 65.5 0.0 761.8540378048775 
8 66.0 0.0 82.5564027777778 
9 66.0 1.0 748.7080691358018 
10 65.5 0.0 850.1368605633796 
11 65.5 0.0 338.9896151515155 
12 65.5 1.0 787.5826428571423 
13 66.0 1.0 275.059659259259 
14 66.0 1.0 300.21812978723375 
15 66.0 1.0 748.7080691358018 
16 65.5 1.0 324.8297449275366 
17 66.0 0.0 82.5564027777778 
18 65.5 1.0 776.0426089743584 
19 66.0 1.0 306.31149999999974 
20 66.0 1.0 367.05602894736813 
21 65.0 1.0 352.80410655737745 
22 65.5 0.0 352.61173278688557 
23 66.5 0.0 903.2621338983046 
24 67.5 0.0 903.5214186440672 
25 66.0 1.0 322.7458099999997 
26 65.5 1.0 328.83375294117684 
27 66.5 1.0 752.3638878048774 
28 66.0 0.0 892.1368397058819 
29 68.0 0.0 78.20555200000001 
30 67.0 0.0 91.12805952380953 
31 65.5 0.0 863.6066830985909 
32 65.5 1.0 735.22726117647 
33 66.0 1.0 79.29166355140191 
34 66.5 0.0 86.62861 
35 65.5 1.0 838.6061138888882 
36 70.0 0.0 15.124636666666662 
37 75.0 0.0 1.18465 
38 66.5 0.0 20.661061016949123 
39 66.0 0.0 100.80766837606826 
40 65.0 0.0 125.03073636363636 
41 66.5 1.0 69.60694242424242 
42 67.0 0.0 105.4326128205128 
43 69.0 0.0 100.49518372093026 
44 66.0 0.0 133.08496574074073 
45 66.0 0.0 31.886340384615355 
46 67.0 0.0 100.37434888888886 
47 67.0 0.0 117.87838444444436 
48 68.5 0.0 54.166726666666655 
49 70.0 0.0 21.853643749999996 
50 66.5 0.0 113.34407043478254 
51 65.5 0.0 126.12756554621849 
52 70.0 0.0 21.02956 
53 67.0 0.0 20.612152083333317 
54 67.0 0.0 65.93136363636361 
55 73.0 0.0 129.22196315789472 
56 66.0 0.0 843.6638295774642 
57 69.0 0.0 36.47788437499998 
58 66.0 0.0 119.52665499999988 
59 65.5 0.0 109.22231929824554 
60 65.5 0.0 104.58744297520656 
61 67.5 0.0 72.55717956989245 
62 75.0 0.0 1.18465 
63 73.0 0.0 131.2138736842105 
64 67.0 0.0 102.84660499999998 
65 67.0 0.0 61.21709756097562 
66 65.0 0.0 113.52097524752469 
67 65.5 0.0 105.85969411764701 
68 66.0 0.0 60.907632608695664 
